,location,age_primary,age_secondary,literacy_rate,enrollment_primaryboys,enrollment_primarygirls,enrollment_primary_total,enrollment_secondary_boys,enrollment_secondar_girls,enrollment_secondary_total,dropout_primary_boys,dropout_primary_girls,dropout_primary_total,dropout_secondary_boysdropout_secondary_boy,dropout_secondary_girls,dropout_secondary_total,schools_with_girsl_toilet,schools_with_boys_toilet
8,Arunachal Pradesh,5,15,66.95,87.8,89.78,88.69,34.37,64.55,44.36,11.51,10.09,10.82,19.37,17.44,18.42,100.0,100.0
22,Dadra & Nagar Haveli,4,15,77.65,132.89,137.89,135.35,19.56,26.41,22.94,1.05,2.17,1.57,7.07,5.33,6.24,52.38,100.0
23,Dadra & Nagar Haveli,4,16,77.65,127.88,123.89,125.96,57.97,61.85,59.88,1.6,1.31,1.47,13.45,4.77,9.47,100.0,100.0
26,Daman & Diu,5,14,87.07,89.53,95.38,92.29,64.15,84.18,73.5,1.8,0.29,1.11,44.38,36.05,40.48,100.0,100.0
31,Goa,4,16,87.4,112.7,113.95,113.31,44.79,36.85,40.99,0.08,0.33,0.2,18.21,8.38,13.36,100.0,98.75
32,Goa,4,16,87.4,93.34,99.88,96.41,62.54,59.91,61.27,0.63,0.84,0.73,18.27,9.39,13.91,100.0,100.0
34,Gujarat,4,16,82.4,103.16,104.88,104.0,47.38,48.96,48.13,0.5,1.06,0.76,9.06,6.18,7.83,100.0,99.29
35,Gujarat,5,15,82.4,100.2,102.65,101.36,52.77,51.58,52.21,0.82,0.98,0.89,8.4,5.26,7.04,100.0,99.72
37,Haryana,6,16,80.4,84.88,84.05,84.48,58.28,62.27,60.16,0.22,0.63,0.41,1.41,3.16,2.18,99.45,100.0
38,Haryana,6,16,80.4,127.61,125.88,126.76,62.02,61.6,61.81,5.54,5.69,5.61,6.24,5.12,5.75,99.72,100.0
40,Himachal Pradesh,6,16,86.6,104.35,111.3,107.67,34.76,36.66,35.62,0.57,0.34,0.46,8.44,5.54,7.07,100.0,100.0
41,Himachal Pradesh,6,14,86.6,77.42,86.57,81.44,80.86,86.75,83.28,0.46,0.83,0.64,9.02,5.57,7.41,100.0,100.0
43,Jammu & Kashmir,5,15,77.3,84.69,80.21,82.53,45.29,52.6,48.49,5.53,5.37,5.46,8.8,6.2,7.64,100.0,100.0
44,Jammu & Kashmir,5,16,77.3,79.68,84.95,82.03,16.32,32.27,21.54,6.98,6.59,6.79,13.85,11.2,12.65,100.0,100.0
61,Maharashtra,5,15,84.8,104.91,102.5,103.73,36.99,36.07,36.54,0.51,0.59,0.55,2.85,3.89,3.34,90.0,98.98
62,Maharashtra,4,17,84.8,80.2,90.23,84.79,64.74,86.95,74.8,1.26,1.25,1.26,2.02,1.6,1.83,100.0,99.61
64,Manipur,4,17,79.85,101.27,99.48,100.43,66.09,51.59,59.31,17.27,18.74,18.0,3.3,3.08,3.2,99.28,100.0
71,Mizoram,6,17,91.5,103.13,104.26,103.68,48.98,54.36,51.54,10.17,10.03,10.1,9.0,4.85,6.91,81.82,100.0
73,Nagaland,5,14,80.11,92.91,88.94,90.92,98.65,92.51,95.65,19.09,19.74,19.41,15.36,12.96,14.19,100.0,100.0
74,Nagaland,6,16,80.11,88.31,88.11,88.21,51.27,52.03,51.63,6.18,5.02,5.61,10.36,3.19,6.97,99.28,100.0
80,Puducherry,5,14,86.55,85.41,78.78,82.18,35.57,40.39,37.7,0.36,0.38,0.37,5.4,3.69,4.5,92.83,100.0
82,Punjab,5,15,83.7,109.38,114.61,111.75,89.51,94.23,91.63,1.35,1.21,1.29,7.87,3.2,5.81,100.0,94.67
83,Punjab,5,16,83.7,103.03,105.01,103.97,73.68,82.57,77.88,2.89,3.25,3.05,7.52,3.67,5.83,100.0,98.08
93,Telangana,5,17,72.8,99.0,98.88,98.95,62.85,61.46,62.2,6.04,5.57,5.81,13.67,13.2,13.43,100.0,81.66
103,Uttarakhand,4,16,87.6,102.79,103.45,103.11,69.97,85.73,77.52,4.37,3.67,4.04,3.4,2.61,3.01,92.31,100.0
105,West Bengal,5,16,80.5,109.5,110.49,109.98,46.48,40.05,43.4,3.44,2.37,2.91,8.03,7.76,7.9,91.67,100.0
106,West Bengal,5,15,80.5,91.54,98.93,95.0,65.36,62.01,63.75,2.13,0.79,1.47,8.18,8.04,8.11,100.0,100.0
108,All India,4,14,77.7,101.78,102.91,102.33,48.27,51.82,49.95,4.53,4.14,4.34,1.48,1.61,1.54,100.0,88.97
